Variable Name,Variable Description Old,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints,Variable Description New,Full Name,Year,Demo File Name
LBXBCD,Cadmium (ug/L),PbCd_D,"Cadmium, Lead, & Total Mercury - Blood",2005,2006,Laboratory,None,Blood cadmium (ug/L),LBXBCD: Blood cadmium (ug/L),2005-2006,DEMO_D
LBXBPB,Lead (ug/dL),PbCd_D,"Cadmium, Lead, & Total Mercury - Blood",2005,2006,Laboratory,None,Blood lead (ug/dL),LBXBPB: Blood lead (ug/dL),2005-2006,DEMO_D
LBXBPB,Lead (ug/dL),PbCd_D,"Cadmium, Lead, & Total Mercury - Blood",2005,2006,Laboratory,None,Blood lead (ug/dL),LBXBPB: Blood lead (ug/dL),2005-2006,DEMO_D
LBXTHG,"Mercury, total (ug/L)",PbCd_D,"Cadmium, Lead, & Total Mercury - Blood",2005,2006,Laboratory,None,"Blood mercury, total (ug/L)","LBXTHG: Blood mercury, total (ug/L)",2005-2006,DEMO_D
LBXHCG,Hepatitis C genotype,HEPC_E,"Hepatitis C: Confirmed Antibody, RNA (HCV-RNA), & Genotype",2007,2008,Laboratory,None,Hepatitis C Genotype,LBXHCG: Hepatitis C Genotype,2007-2008,DEMO_E
LBXHCR,Hepatitis C RNA (HCV-RNA),HEPC_E,"Hepatitis C: Confirmed Antibody, RNA (HCV-RNA), & Genotype",2007,2008,Laboratory,None,Hepatitis C RNA,LBXHCR: Hepatitis C RNA,2007-2008,DEMO_E
LBXHA,Hepatitis A Antibody (Anti-HAV),HEPA_E,Hepatitis A Antibody,2007,2008,Laboratory,None,Hepatitis A antibody,LBXHA: Hepatitis A antibody,2007-2008,DEMO_E
LBXHBC,Hepatitis B core antibody,HEPBD_E,"Hepatitis B: Core Antibody, Surface Antigen; Hepatitis D Antibody",2007,2008,Laboratory,None,Hepatitis B core antibody,LBXHBC: Hepatitis B core antibody,2007-2008,DEMO_E
LBXHBS,Hepatitis B surface antibody,HEPB_S_E,Hepatitis B Surface Antibody,2007,2008,Laboratory,None,Hepatitis B Surface Antibody,LBXHBS: Hepatitis B Surface Antibody,2007-2008,DEMO_E
LBXCRP,C-reactive protein (mg/dL),CRP_E,C-Reactive Protein (CRP),2007,2008,Laboratory,None,C-reactive protein(mg/dL),LBXCRP: C-reactive protein(mg/dL),2007-2008,DEMO_E
LBXP1,Total prostate specific antigen (ng/mL),PSA_E,Prostate Specific Antigen (PSA),2007,2008,Laboratory,None,Total prostate specific antigen (ng/mL),LBXP1: Total prostate specific antigen (ng/mL),2007-2008,DEMO_E
LBXP2,Free prostate specific antigen (ng/mL),PSA_E,Prostate Specific Antigen (PSA),2007,2008,Laboratory,None,Free prostate specific antigen (ng/mL),LBXP2: Free prostate specific antigen (ng/mL),2007-2008,DEMO_E
LBXPS4,Complexed prostate specific antigen (ng/mL),PSA_E,Prostate Specific Antigen (PSA),2007,2008,Laboratory,None,Complexed prostate specific antigen (ng/mL),LBXPS4: Complexed prostate specific antigen (ng/mL),2007-2008,DEMO_E
LBXBAPCT,Basophils percent (%),CBC_E,Complete Blood Count with 5-part Differential - Whole Blood,2007,2008,Laboratory,None,Basophils percent (%),LBXBAPCT: Basophils percent (%),2007-2008,DEMO_E
LBXEOPCT,Eosinophils percent (%),CBC_E,Complete Blood Count with 5-part Differential - Whole Blood,2007,2008,Laboratory,None,Eosinophils percent (%),LBXEOPCT: Eosinophils percent (%),2007-2008,DEMO_E
LBXHCT,Hematocrit (%),CBC_E,Complete Blood Count with 5-part Differential - Whole Blood,2007,2008,Laboratory,None,Hematocrit (%),LBXHCT: Hematocrit (%),2007-2008,DEMO_E
LBXHGB,Hemoglobin (g/dL),CBC_E,Complete Blood Count with 5-part Differential - Whole Blood,2007,2008,Laboratory,None,Hemoglobin (g/dL),LBXHGB: Hemoglobin (g/dL),2007-2008,DEMO_E
LBXLYPCT,Lymphocyte percent (%),CBC_E,Complete Blood Count with 5-part Differential - Whole Blood,2007,2008,Laboratory,None,Lymphocyte percent (%),LBXLYPCT: Lymphocyte percent (%),2007-2008,DEMO_E
LBXMC,Mean cell hemoglobin concentration (g/dL),CBC_E,Complete Blood Count with 5-part Differential - Whole Blood,2007,2008,Laboratory,None,Mean cell hemoglobin concentration (g/dL),LBXMC: Mean cell hemoglobin concentration (g/dL),2007-2008,DEMO_E
LBXMCHSI,Mean cell hemoglobin (pg),CBC_E,Complete Blood Count with 5-part Differential - Whole Blood,2007,2008,Laboratory,None,Mean cell hemoglobin (pg),LBXMCHSI: Mean cell hemoglobin (pg),2007-2008,DEMO_E
LBXMCVSI,Mean cell volume (fL),CBC_E,Complete Blood Count with 5-part Differential - Whole Blood,2007,2008,Laboratory,None,Mean cell volume (fL),LBXMCVSI: Mean cell volume (fL),2007-2008,DEMO_E
